"LogEinkommen"
"267245",3.77
"204621",4.1
"244279",3.75
"195479",4.44
"21315",3.87
"46000",4.3
"99614",4.44
"218424",3.74
"270567",4.58
"143590",4.12
"155127",4.73
"107259",4.25
"83180",4.52
"71191",4.27
"31450",4.62
"14187",4.33
"177369",4.47
"245493",4.33
"115140",4.8
"136828",4.53
"258183",3.71
"76439",3.6
"233268",4.51
"131858",4.24
"102216",4.58
"36155",3.13
"236618",3.94
"251679",3.81
"47389",4.85
"1083",3.55
"253679",3.72
"82686",4.87
"88144",4.17
"151099",4.74
"112197",4.83
"194486",4.55
"5853",3.3
"232989",3.81
"116792",4.32
"241667",4.33
"68036",4.11
"189464",5.19
"128156",4.16
"145511",4.16
"62931",4.67
"223491",3.52
"233357",4.24
"10126",4.15
"214156",3.66
"156286",3.61
"73352",2.67
"84007",4.47
"217230",4.45
"86515",4.43
"3373",4.65
"82747",4.87
"194494",4.67
"114386",3.27
"119111",4.57
"4100",4.72
"268666",3.69
"123006",4.1
"88633",3.84
"82152",4.63
"114493",3.97
"11255",4.29
"108777",4.29
"71486",4.18
"189189",3.59
"200855",4.53
"227970",4.39
"13628",5.1
"263838",2.87
"35073",3.61
"13664",4.37
"44463",4.75
"77663",4.47
"194524",3.99
"211486",4.28
"105577",5.04
"146279",4.46
"54796",4.78
"17472",1.67
"104495",4.31
"234977",4.83
"99679",4.62
"139205",4.33
"14668",4.69
"216294",4.69
"212818",4.23
"233750",4.75
"46751",4.54
"37969",4.47
"27342",4.56
"217339",4.72
"186548",4.45
"4352",4.74
"258153",4.04
"191525",4.44
"151722",3.85
"192964",5.74
"199435",4.5
"86252",5.37
"63602",4.07
"222498",4.66
"57698",4.45
"167523",4.51
"113589",4.09
"38668",4.72
"97569",4.07
"263501",4.61
"273907",4.69
"191097",4.26
"199483",4.73
"183601",4.38
"94146",4.41
"166064",3.99
"79930",4.6
"251203",4.24
"53622",4.92
"187280",4.44
"140967",4.24
"159571",3.72
"32009",4.47
"133908",4.93
"55945",4.33
"125711",3.31
"175544",4.66
"238695",4.54
"58265",4.24
"267261",4.76
"273485",4.38
"37872",4.33
"32163",4.49
"104382",4.34
"251698",4.65
"82397",4.6
"168306",4.92
"139971",4.52
"179829",4.25
"9448",4.68
"61420",4.25
"4569",4.37
"271925",4.16
"83042",4
"1556",3.79
"270983",4.33
"202599",4.74
"198302",4.51
"122033",3.43
"101484",4.45
"167013",4.73
"89622",3.84
"74533",3.65
"11775",4.57
"128300",5.04
"107912",4.31
"64036",4.15
"83675",4.29
"191235",4.04
"258366",3.97
"232764",4.37
"71777",4.5
"198342",4.68
"252220",4.38
"179494",4.47
"122999",4.04
"268069",3.92
"50936",4.48
"76719",4.77
"149217",4
"88556",4.67
"135296",4.52
"28003",4.47
"235160",3.34
"148528",4.48
